config,f1,f2,f3,f4
1,0.23383,0.501,0.00677,0.0
6,0.22903,0.5058,0.00666,0.0
0,0.21845,0.52437,0.0093,0.0
2,0.23548,0.48146,0.01836,0.00041
5,0.24064,0.44412,0.02757,0.0017
4,0.23672,0.48216,0.00653,0.0
3,0.2282,0.51315,0.00682,0.0
