Module 	X	Y	Z			
187	1030.350	-257.100	3028.500			
188	1073.950	-257.100	3028.500			
189	332.750	-171.400	3028.500			
190	376.350	-171.400	3028.500			
191	419.950	-171.400	3028.500			
192	463.550	-171.400	3028.500			
193	507.150	-171.400	3028.500			
194	550.750	-171.400	3028.500			
195	594.350	-171.400	3028.500			
196	637.950	-171.400	3028.500			
197	681.550	-171.400	3028.500			
198	725.150	-171.400	3028.500			
199	768.750	-171.400	3028.500			
200	812.350	-171.400	3028.500			
201	855.950	-171.400	3028.500			
202	899.550	-171.400	3028.500			
203	943.150	-171.400	3028.500			
204	986.750	-171.400	3028.500			
205	1030.350	-171.400	3028.500			
206	1073.950	-171.400	3028.500			
207	463.550	-85.700	3028.500			
208	507.150	-85.700	3028.500			
209	550.750	-85.700	3028.500			
210	594.350	-85.700	3028.500			
211	637.950	-85.700	3028.500			
212	681.550	-85.700	3028.500			
213	725.150	-85.700	3028.500			
214	768.750	-85.700	3028.500			
215	812.350	-85.700	3028.500			
216	855.950	-85.700	3028.500			
217	899.550	-85.700	3028.500			
218	943.150	-85.700	3028.500			
219	986.750	-85.700	3028.500			
220	1030.350	-85.700	3028.500			
221	1073.950	-85.700	3028.500			
222	463.550	0.000	3028.500			
223	507.150	0.000	3028.500			
224	550.750	0.000	3028.500			
225	594.350	0.000	3028.500			
226	637.950	0.000	3028.500			
227	681.550	0.000	3028.500			
228	725.150	0.000	3028.500			
229	768.750	0.000	3028.500			
230	812.350	0.000	3028.500			
231	855.950	0.000	3028.500			
232	899.550	0.000	3028.500			
233	943.150	0.000	3028.500			
234	986.750	0.000	3028.500			
235	1030.350	0.000	3028.500			
236	1073.950	0.000	3028.500			
237	376.350	85.700	3028.500			
238	419.950	85.700	3028.500			
239	463.550	85.700	3028.500			
240	507.150	85.700	3028.500			
241	550.750	85.700	3028.500			
242	594.350	85.700	3028.500			
243	637.950	85.700	3028.500			
244	681.550	85.700	3028.500			
245	725.150	85.700	3028.500			
246	768.750	85.700	3028.500			
247	812.350	85.700	3028.500			
248	855.950	85.700	3028.500			
249	899.550	85.700	3028.500			
250	943.150	85.700	3028.500			
251	986.750	85.700	3028.500			
252	1030.350	85.700	3028.500			
253	1073.950	85.700	3028.500			
254	332.750	171.400	3028.500			
255	376.350	171.400	3028.500			
256	419.950	171.400	3028.500			
257	463.550	171.400	3028.500			
258	507.150	171.400	3028.500			
259	550.750	171.400	3028.500			
260	594.350	171.400	3028.500			
261	637.950	171.400	3028.500			
262	681.550	171.400	3028.500			
263	725.150	171.400	3028.500			
264	768.750	171.400	3028.500			
265	812.350	171.400	3028.500			
266	855.950	171.400	3028.500			
267	899.550	171.400	3028.500			
268	943.150	171.400	3028.500			
269	986.750	171.400	3028.500			
270	1030.350	171.400	3028.500			
271	1073.950	171.400	3028.500			
272	289.150	257.100	3028.500			
273	332.750	257.100	3028.500			
274	376.350	257.100	3028.500			
275	419.950	257.100	3028.500			
276	463.550	257.100	3028.500			
277	507.150	257.100	3028.500			
278	550.750	257.100	3028.500			
279	594.350	257.100	3028.500			
280	637.950	257.100	3028.500			
281	681.550	257.100	3028.500			
282	725.150	257.100	3028.500			
283	768.750	257.100	3028.500			
284	812.350	257.100	3028.500			
285	855.950	257.100	3028.500			
286	899.550	257.100	3028.500			
287	943.150	257.100	3028.500			
288	986.750	257.100	3028.500			
289	1030.350	257.100	3028.500			
290	1073.950	257.100	3028.500			
291	289.150	342.800	3028.500			
292	332.750	342.800	3028.500			
293	376.350	342.800	3028.500			
294	419.950	342.800	3028.500			
295	463.550	342.800	3028.500			
296	507.150	342.800	3028.500			
297	550.750	342.800	3028.500			
298	594.350	342.800	3028.500			
299	637.950	342.800	3028.500			
300	681.550	342.800	3028.500			
301	725.150	342.800	3028.500			
302	768.750	342.800	3028.500			
303	812.350	342.800	3028.500			
304	855.950	342.800	3028.500			
