Module 	X	Y	Z			
1	158.350	-1072.250	2998.250			
2	201.950	-1072.250	2998.250			
3	245.550	-1072.250	2998.250			
4	27.550	-986.550	2998.250			
5	71.150	-986.550	2998.250			
6	114.750	-986.550	2998.250			
7	158.350	-986.550	2998.250			
8	201.950	-986.550	2998.250			
9	245.550	-986.550	2998.250			
10	289.150	-986.550	2998.250			
11	332.750	-986.550	2998.250			
12	376.350	-986.550	2998.250			
13	419.950	-986.550	2998.250			
14	463.550	-986.550	2998.250			
15	507.150	-986.550	2998.250			
16	27.550	-900.850	2998.250			
17	71.150	-900.850	2998.250			
18	114.750	-900.850	2998.250			
19	158.350	-900.850	2998.250			
20	201.950	-900.850	2998.250			
21	245.550	-900.850	2998.250			
22	289.150	-900.850	2998.250			
23	332.750	-900.850	2998.250			
24	376.350	-900.850	2998.250			
25	419.950	-900.850	2998.250			
26	463.550	-900.850	2998.250			
27	507.150	-900.850	2998.250			
28	550.750	-900.850	2998.250			
29	594.350	-900.850	2998.250			
30	637.950	-900.850	2998.250			
31	681.550	-900.850	2998.250			
32	27.550	-815.150	2998.250			
33	71.150	-815.150	2998.250			
34	114.750	-815.150	2998.250			
35	158.350	-815.150	2998.250			
36	201.950	-815.150	2998.250			
37	245.550	-815.150	2998.250			
38	289.150	-815.150	2998.250			
39	332.750	-815.150	2998.250			
40	376.350	-815.150	2998.250			
41	419.950	-815.150	2998.250			
42	463.550	-815.150	2998.250			
43	507.150	-815.150	2998.250			
44	550.750	-815.150	2998.250			
45	594.350	-815.150	2998.250			
46	637.950	-815.150	2998.250			
47	681.550	-815.150	2998.250			
48	725.150	-815.150	2998.250			
49	768.750	-815.150	2998.250			
50	27.550	-729.450	2998.250			
51	71.150	-729.450	2998.250			
52	114.750	-729.450	2998.250			
53	158.350	-729.450	2998.250			
54	201.950	-729.450	2998.250			
55	245.550	-729.450	2998.250			
56	289.150	-729.450	2998.250			
57	332.750	-729.450	2998.250			
58	376.350	-729.450	2998.250			
59	419.950	-729.450	2998.250			
60	463.550	-729.450	2998.250			
61	507.150	-729.450	2998.250			
62	550.750	-729.450	2998.250			
63	594.350	-729.450	2998.250			
64	637.950	-729.450	2998.250			
65	681.550	-729.450	2998.250			
66	725.150	-729.450	2998.250			
67	768.750	-729.450	2998.250			
68	812.350	-729.450	2998.250			
69	855.950	-729.450	2998.250			
70	27.550	-643.750	2998.250			
71	71.150	-643.750	2998.250			
72	114.750	-643.750	2998.250			
73	158.350	-643.750	2998.250			
74	201.950	-643.750	2998.250			
75	245.550	-643.750	2998.250			
76	289.150	-643.750	2998.250			
77	332.750	-643.750	2998.250			
78	376.350	-643.750	2998.250			
79	419.950	-643.750	2998.250			
80	463.550	-643.750	2998.250			
81	507.150	-643.750	2998.250			
82	550.750	-643.750	2998.250			
83	594.350	-643.750	2998.250			
84	637.950	-643.750	2998.250			
85	681.550	-643.750	2998.250			
86	725.150	-643.750	2998.250			
87	768.750	-643.750	2998.250			
88	812.350	-643.750	2998.250			
89	855.950	-643.750	2998.250			
90	899.550	-643.750	2998.250			
91	27.550	-558.050	2998.250			
92	71.150	-558.050	2998.250			
93	114.750	-558.050	2998.250			
94	158.350	-558.050	2998.250			
95	201.950	-558.050	2998.250			
96	245.550	-558.050	2998.250			
97	289.150	-558.050	2998.250			
98	332.750	-558.050	2998.250			
99	376.350	-558.050	2998.250			
100	419.950	-558.050	2998.250			
101	463.550	-558.050	2998.250			
102	507.150	-558.050	2998.250			
103	550.750	-558.050	2998.250			
104	594.350	-558.050	2998.250			
105	637.950	-558.050	2998.250			
106	681.550	-558.050	2998.250			
107	725.150	-558.050	2998.250			
108	768.750	-558.050	2998.250			
109	812.350	-558.050	2998.250			
110	855.950	-558.050	2998.250			
111	899.550	-558.050	2998.250			
112	943.150	-558.050	2998.250			
113	986.750	-558.050	2998.250			
114	27.550	-472.350	2998.250			
