,X,Y
0,27.55,-685.6
1,71.15,-685.6
2,114.75,-685.6
3,158.35,-685.6
4,201.95,-685.6
5,245.55,-685.6
6,289.15,-685.6
7,332.75,-685.6
8,27.55,-599.9
9,71.15,-599.9
10,114.75,-599.9
11,158.35,-599.9
12,201.95,-599.9
13,245.55,-599.9
14,289.15,-599.9
15,332.75,-599.9
16,376.35,-599.9
17,419.95,-599.9
18,463.55,-599.9
19,27.55,-514.2
20,71.15,-514.2
21,114.75,-514.2
22,158.35,-514.2
23,201.95,-514.2
24,245.55,-514.2
25,289.15,-514.2
26,332.75,-514.2
27,376.35,-514.2
28,419.95,-514.2
29,463.55,-514.2
30,507.15,-514.2
31,550.75,-514.2
32,27.55,-428.5
33,71.15,-428.5
34,114.75,-428.5
35,245.55,-428.5
36,289.15,-428.5
37,332.75,-428.5
38,376.35,-428.5
39,419.95,-428.5
40,463.55,-428.5
41,507.15,-428.5
42,550.75,-428.5
43,594.35,-428.5
44,289.15,-342.8
45,332.75,-342.8
46,376.35,-342.8
47,419.95,-342.8
48,463.55,-342.8
49,507.15,-342.8
50,550.75,-342.8
51,594.35,-342.8
52,637.95,-342.8
53,681.55,-342.8
54,289.15,-257.1
55,332.75,-257.1
56,376.35,-257.1
57,419.95,-257.1
58,463.55,-257.1
59,507.15,-257.1
60,550.75,-257.1
61,594.35,-257.1
62,637.95,-257.1
63,681.55,-257.1
64,725.15,-257.1
65,332.75,-171.4
66,376.35,-171.4
67,419.95,-171.4
68,463.55,-171.4
69,507.15,-171.4
70,550.75,-171.4
71,594.35,-171.4
72,637.95,-171.4
73,681.55,-171.4
74,725.15,-171.4
75,463.55,-85.7
76,507.15,-85.7
77,550.75,-85.7
78,594.35,-85.7
79,637.95,-85.7
80,681.55,-85.7
81,725.15,-85.7
82,768.75,-85.7
83,463.55,0.0
84,507.15,0.0
85,550.75,0.0
86,594.35,0.0
87,637.95,0.0
88,681.55,0.0
89,725.15,0.0
90,768.75,0.0
91,376.35,85.7
92,419.95,85.7
93,463.55,85.7
94,507.15,85.7
95,550.75,85.7
96,594.35,85.7
97,637.95,85.7
98,681.55,85.7
99,725.15,85.7
100,768.75,85.7
101,332.75,171.4
102,376.35,171.4
103,419.95,171.4
104,463.55,171.4
105,507.15,171.4
106,550.75,171.4
107,594.35,171.4
108,637.95,171.4
109,681.55,171.4
110,725.15,171.4
111,289.15,257.1
112,332.75,257.1
113,376.35,257.1
114,419.95,257.1
115,463.55,257.1
116,507.15,257.1
117,550.75,257.1
118,594.35,257.1
119,637.95,257.1
120,681.55,257.1
121,725.15,257.1
122,289.15,342.8
123,332.75,342.8
124,376.35,342.8
125,419.95,342.8
126,463.55,342.8
127,507.15,342.8
128,550.75,342.8
129,594.35,342.8
130,637.95,342.8
131,681.55,342.8
132,27.55,428.5
133,71.15,428.5
134,114.75,428.5
135,158.35,428.5
136,201.95,428.5
137,245.55,428.5
138,289.15,428.5
139,332.75,428.5
140,376.35,428.5
141,419.95,428.5
142,463.55,428.5
143,507.15,428.5
144,550.75,428.5
145,594.35,428.5
146,27.55,514.2
147,71.15,514.2
148,114.75,514.2
149,158.35,514.2
150,201.95,514.2
151,245.55,514.2
152,289.15,514.2
153,332.75,514.2
154,376.35,514.2
155,419.95,514.2
156,463.55,514.2
157,507.15,514.2
158,550.75,514.2
159,27.55,599.9
160,71.15,599.9
161,114.75,599.9
162,158.35,599.9
163,201.95,599.9
164,245.55,599.9
165,289.15,599.9
166,332.75,599.9
167,376.35,599.9
168,419.95,599.9
169,463.55,599.9
170,27.55,685.6
171,71.15,685.6
172,114.75,685.6
173,158.35,685.6
174,201.95,685.6
175,245.55,685.6
176,289.15,685.6
177,332.75,685.6
178,-27.55,685.6
179,-71.15,685.6
180,-114.75,685.6
181,-158.35,685.6
182,-201.95,685.6
183,-245.55,685.6
184,-289.15,685.6
185,-332.75,685.6
186,-27.55,599.9
187,-71.15,599.9
188,-114.75,599.9
189,-158.35,599.9
190,-201.95,599.9
191,-245.55,599.9
192,-289.15,599.9
193,-332.75,599.9
194,-376.35,599.9
195,-419.95,599.9
196,-463.55,599.9
197,-27.55,514.2
198,-71.15,514.2
199,-114.75,514.2
200,-158.35,514.2
201,-201.95,514.2
202,-245.55,514.2
203,-289.15,514.2
204,-332.75,514.2
205,-376.35,514.2
206,-419.95,514.2
207,-463.55,514.2
208,-507.15,514.2
209,-550.75,514.2
210,-27.55,428.5
211,-71.15,428.5
212,-114.75,428.5
213,-245.55,428.5
214,-289.15,428.5
215,-332.75,428.5
216,-376.35,428.5
217,-419.95,428.5
218,-463.55,428.5
219,-507.15,428.5
220,-550.75,428.5
221,-594.35,428.5
222,-289.15,342.8
223,-332.75,342.8
224,-376.35,342.8
225,-419.95,342.8
226,-463.55,342.8
227,-507.15,342.8
228,-550.75,342.8
229,-594.35,342.8
230,-637.95,342.8
231,-681.55,342.8
232,-289.15,257.1
233,-332.75,257.1
234,-376.35,257.1
235,-419.95,257.1
236,-463.55,257.1
237,-507.15,257.1
238,-550.75,257.1
239,-594.35,257.1
240,-637.95,257.1
241,-681.55,257.1
242,-725.15,257.1
243,-332.75,171.4
244,-376.35,171.4
245,-419.95,171.4
246,-463.55,171.4
247,-507.15,171.4
248,-550.75,171.4
249,-594.35,171.4
250,-637.95,171.4
251,-681.55,171.4
252,-725.15,171.4
253,-463.55,85.7
254,-507.15,85.7
255,-550.75,85.7
256,-594.35,85.7
257,-637.95,85.7
258,-681.55,85.7
259,-725.15,85.7
260,-768.75,85.7
261,-463.55,0.0
262,-507.15,0.0
263,-550.75,0.0
264,-594.35,0.0
265,-637.95,0.0
266,-681.55,0.0
267,-725.15,0.0
268,-768.75,0.0
269,-376.35,-85.7
270,-419.95,-85.7
271,-463.55,-85.7
272,-507.15,-85.7
273,-550.75,-85.7
274,-594.35,-85.7
275,-637.95,-85.7
276,-681.55,-85.7
277,-725.15,-85.7
278,-768.75,-85.7
279,-332.75,-171.4
280,-376.35,-171.4
281,-419.95,-171.4
282,-463.55,-171.4
283,-507.15,-171.4
284,-550.75,-171.4
285,-594.35,-171.4
286,-637.95,-171.4
287,-681.55,-171.4
288,-725.15,-171.4
289,-289.15,-257.1
290,-332.75,-257.1
291,-376.35,-257.1
292,-419.95,-257.1
293,-463.55,-257.1
294,-507.15,-257.1
295,-550.75,-257.1
296,-594.35,-257.1
297,-637.95,-257.1
298,-681.55,-257.1
299,-725.15,-257.1
300,-289.15,-342.8
301,-332.75,-342.8
302,-376.35,-342.8
303,-419.95,-342.8
304,-463.55,-342.8
305,-507.15,-342.8
306,-550.75,-342.8
307,-594.35,-342.8
308,-637.95,-342.8
309,-681.55,-342.8
310,-27.55,-428.5
311,-71.15,-428.5
312,-114.75,-428.5
