,X,Y
0,158.35,-1114.1
1,201.95,-1114.1
2,245.55,-1114.1
3,114.75,-1028.4
4,158.35,-1028.4
5,201.95,-1028.4
6,245.55,-1028.4
7,289.15,-1028.4
8,332.75,-1028.4
9,376.35,-1028.4
10,419.95,-1028.4
11,463.55,-1028.4
12,507.15,-1028.4
13,27.55,-942.7
14,71.15,-942.7
15,114.75,-942.7
16,158.35,-942.7
17,201.95,-942.7
18,245.55,-942.7
19,289.15,-942.7
20,332.75,-942.7
21,376.35,-942.7
22,419.95,-942.7
23,463.55,-942.7
24,507.15,-942.7
25,550.75,-942.7
26,594.35,-942.7
27,637.95,-942.7
28,27.55,-857.0
29,71.15,-857.0
30,114.75,-857.0
31,158.35,-857.0
32,201.95,-857.0
33,245.55,-857.0
34,289.15,-857.0
35,332.75,-857.0
36,376.35,-857.0
37,419.95,-857.0
38,463.55,-857.0
39,507.15,-857.0
40,550.75,-857.0
41,594.35,-857.0
42,637.95,-857.0
43,681.55,-857.0
44,725.15,-857.0
45,27.55,-771.3
46,71.15,-771.3
47,114.75,-771.3
48,158.35,-771.3
49,201.95,-771.3
50,245.55,-771.3
51,289.15,-771.3
52,332.75,-771.3
53,376.35,-771.3
54,419.95,-771.3
55,463.55,-771.3
56,507.15,-771.3
57,550.75,-771.3
58,594.35,-771.3
59,637.95,-771.3
60,681.55,-771.3
61,725.15,-771.3
62,768.75,-771.3
63,812.35,-771.3
64,27.55,-685.6
65,71.15,-685.6
66,114.75,-685.6
67,158.35,-685.6
68,201.95,-685.6
69,245.55,-685.6
70,289.15,-685.6
71,332.75,-685.6
72,376.35,-685.6
73,419.95,-685.6
74,463.55,-685.6
75,507.15,-685.6
76,550.75,-685.6
77,594.35,-685.6
78,637.95,-685.6
79,681.55,-685.6
80,725.15,-685.6
81,768.75,-685.6
82,812.35,-685.6
83,855.95,-685.6
84,899.55,-685.6
85,27.55,-599.9
86,71.15,-599.9
87,114.75,-599.9
88,158.35,-599.9
89,201.95,-599.9
90,245.55,-599.9
91,289.15,-599.9
92,332.75,-599.9
93,376.35,-599.9
94,419.95,-599.9
95,463.55,-599.9
96,507.15,-599.9
97,550.75,-599.9
98,594.35,-599.9
99,637.95,-599.9
100,681.55,-599.9
101,725.15,-599.9
102,768.75,-599.9
103,812.35,-599.9
104,855.95,-599.9
105,899.55,-599.9
106,943.15,-599.9
107,27.55,-514.2
108,71.15,-514.2
109,114.75,-514.2
110,158.35,-514.2
111,201.95,-514.2
112,245.55,-514.2
113,289.15,-514.2
114,332.75,-514.2
115,376.35,-514.2
116,419.95,-514.2
117,463.55,-514.2
118,507.15,-514.2
119,550.75,-514.2
120,594.35,-514.2
121,637.95,-514.2
122,681.55,-514.2
123,725.15,-514.2
124,768.75,-514.2
125,812.35,-514.2
126,855.95,-514.2
127,899.55,-514.2
128,943.15,-514.2
129,986.75,-514.2
130,27.55,-428.5
131,71.15,-428.5
132,114.75,-428.5
133,245.55,-428.5
134,289.15,-428.5
135,332.75,-428.5
136,376.35,-428.5
137,419.95,-428.5
138,463.55,-428.5
139,507.15,-428.5
140,550.75,-428.5
141,594.35,-428.5
142,637.95,-428.5
143,681.55,-428.5
144,725.15,-428.5
145,768.75,-428.5
146,812.35,-428.5
147,855.95,-428.5
148,899.55,-428.5
149,943.15,-428.5
150,289.15,-342.8
151,332.75,-342.8
152,376.35,-342.8
153,419.95,-342.8
154,463.55,-342.8
155,507.15,-342.8
156,550.75,-342.8
157,594.35,-342.8
158,637.95,-342.8
159,681.55,-342.8
160,725.15,-342.8
161,768.75,-342.8
162,812.35,-342.8
163,855.95,-342.8
164,899.55,-342.8
165,943.15,-342.8
166,986.75,-342.8
167,1030.35,-342.8
168,1073.95,-342.8
169,289.15,-257.1
170,332.75,-257.1
171,376.35,-257.1
172,419.95,-257.1
173,463.55,-257.1
174,507.15,-257.1
175,550.75,-257.1
176,594.35,-257.1
177,637.95,-257.1
178,681.55,-257.1
179,725.15,-257.1
180,768.75,-257.1
181,812.35,-257.1
182,855.95,-257.1
183,899.55,-257.1
184,943.15,-257.1
185,986.75,-257.1
186,1030.35,-257.1
187,1073.95,-257.1
188,332.75,-171.4
189,376.35,-171.4
190,419.95,-171.4
191,463.55,-171.4
192,507.15,-171.4
193,550.75,-171.4
194,594.35,-171.4
195,637.95,-171.4
196,681.55,-171.4
197,725.15,-171.4
198,768.75,-171.4
199,812.35,-171.4
200,855.95,-171.4
201,899.55,-171.4
202,943.15,-171.4
203,986.75,-171.4
204,1030.35,-171.4
205,1073.95,-171.4
206,463.55,-85.7
207,507.15,-85.7
208,550.75,-85.7
209,594.35,-85.7
210,637.95,-85.7
211,681.55,-85.7
212,725.15,-85.7
213,768.75,-85.7
214,812.35,-85.7
215,855.95,-85.7
216,899.55,-85.7
217,943.15,-85.7
218,986.75,-85.7
219,1030.35,-85.7
220,1073.95,-85.7
221,463.55,0.0
222,507.15,0.0
223,550.75,0.0
224,594.35,0.0
225,637.95,0.0
226,681.55,0.0
227,725.15,0.0
228,768.75,0.0
229,812.35,0.0
230,855.95,0.0
231,899.55,0.0
232,943.15,0.0
233,986.75,0.0
234,1030.35,0.0
235,1073.95,0.0
236,376.35,85.7
237,419.95,85.7
238,463.55,85.7
239,507.15,85.7
240,550.75,85.7
241,594.35,85.7
242,637.95,85.7
243,681.55,85.7
244,725.15,85.7
245,768.75,85.7
246,812.35,85.7
247,855.95,85.7
248,899.55,85.7
249,943.15,85.7
250,986.75,85.7
251,1030.35,85.7
252,1073.95,85.7
253,332.75,171.4
254,376.35,171.4
255,419.95,171.4
256,463.55,171.4
257,507.15,171.4
258,550.75,171.4
259,594.35,171.4
260,637.95,171.4
261,681.55,171.4
262,725.15,171.4
263,768.75,171.4
264,812.35,171.4
265,855.95,171.4
266,899.55,171.4
267,943.15,171.4
268,986.75,171.4
269,1030.35,171.4
270,1073.95,171.4
271,289.15,257.1
272,332.75,257.1
273,376.35,257.1
274,419.95,257.1
275,463.55,257.1
276,507.15,257.1
277,550.75,257.1
278,594.35,257.1
279,637.95,257.1
280,681.55,257.1
281,725.15,257.1
282,768.75,257.1
283,812.35,257.1
284,855.95,257.1
285,899.55,257.1
286,943.15,257.1
287,986.75,257.1
288,1030.35,257.1
289,1073.95,257.1
290,289.15,342.8
291,332.75,342.8
292,376.35,342.8
293,419.95,342.8
294,463.55,342.8
295,507.15,342.8
296,550.75,342.8
297,594.35,342.8
298,637.95,342.8
299,681.55,342.8
300,725.15,342.8
301,768.75,342.8
302,812.35,342.8
303,855.95,342.8
304,899.55,342.8
305,943.15,342.8
306,27.55,428.5
307,71.15,428.5
308,114.75,428.5
309,158.35,428.5
310,201.95,428.5
311,245.55,428.5
312,289.15,428.5
313,332.75,428.5
314,376.35,428.5
315,419.95,428.5
316,463.55,428.5
317,507.15,428.5
318,550.75,428.5
319,594.35,428.5
320,637.95,428.5
321,681.55,428.5
322,725.15,428.5
323,768.75,428.5
324,812.35,428.5
325,855.95,428.5
326,899.55,428.5
327,943.15,428.5
328,27.55,514.2
329,71.15,514.2
330,114.75,514.2
331,158.35,514.2
332,201.95,514.2
333,245.55,514.2
334,289.15,514.2
335,332.75,514.2
336,376.35,514.2
337,419.95,514.2
338,463.55,514.2
339,507.15,514.2
340,550.75,514.2
341,594.35,514.2
342,637.95,514.2
343,681.55,514.2
344,725.15,514.2
345,768.75,514.2
346,812.35,514.2
347,855.95,514.2
348,899.55,514.2
349,943.15,514.2
350,986.75,514.2
351,27.55,599.9
352,71.15,599.9
353,114.75,599.9
354,158.35,599.9
355,201.95,599.9
356,245.55,599.9
357,289.15,599.9
358,332.75,599.9
359,376.35,599.9
360,419.95,599.9
361,463.55,599.9
362,507.15,599.9
363,550.75,599.9
364,594.35,599.9
365,637.95,599.9
366,681.55,599.9
367,725.15,599.9
368,768.75,599.9
369,812.35,599.9
370,855.95,599.9
371,899.55,599.9
372,943.15,599.9
373,27.55,685.6
374,71.15,685.6
375,114.75,685.6
376,158.35,685.6
377,201.95,685.6
378,245.55,685.6
379,289.15,685.6
380,332.75,685.6
381,376.35,685.6
382,419.95,685.6
383,463.55,685.6
384,507.15,685.6
385,550.75,685.6
386,594.35,685.6
387,637.95,685.6
388,681.55,685.6
389,725.15,685.6
390,768.75,685.6
391,812.35,685.6
392,855.95,685.6
393,27.55,771.3
394,71.15,771.3
395,114.75,771.3
396,158.35,771.3
397,201.95,771.3
398,245.55,771.3
399,289.15,771.3
400,332.75,771.3
401,376.35,771.3
402,419.95,771.3
403,463.55,771.3
404,507.15,771.3
405,550.75,771.3
406,594.35,771.3
407,637.95,771.3
408,681.55,771.3
409,725.15,771.3
410,768.75,771.3
411,27.55,857.0
412,71.15,857.0
413,114.75,857.0
414,158.35,857.0
415,201.95,857.0
416,245.55,857.0
417,289.15,857.0
418,332.75,857.0
419,376.35,857.0
420,419.95,857.0
421,463.55,857.0
422,507.15,857.0
423,550.75,857.0
424,594.35,857.0
425,637.95,857.0
426,681.55,857.0
427,27.55,942.7
428,71.15,942.7
429,114.75,942.7
430,158.35,942.7
431,201.95,942.7
432,245.55,942.7
433,289.15,942.7
434,332.75,942.7
435,376.35,942.7
436,419.95,942.7
437,463.55,942.7
438,507.15,942.7
439,550.75,942.7
440,114.75,1028.4
441,158.35,1028.4
442,201.95,1028.4
443,245.55,1028.4
444,289.15,1028.4
445,332.75,1028.4
446,376.35,1028.4
447,-158.35,1114.1
448,-201.95,1114.1
449,-245.55,1114.1
450,-114.75,1028.4
451,-158.35,1028.4
452,-201.95,1028.4
453,-245.55,1028.4
454,-289.15,1028.4
455,-332.75,1028.4
456,-376.35,1028.4
457,-419.95,1028.4
458,-463.55,1028.4
459,-507.15,1028.4
460,-27.55,942.7
461,-71.15,942.7
462,-114.75,942.7
463,-158.35,942.7
464,-201.95,942.7
465,-245.55,942.7
466,-289.15,942.7
467,-332.75,942.7
468,-376.35,942.7
469,-419.95,942.7
470,-463.55,942.7
471,-507.15,942.7
472,-550.75,942.7
473,-594.35,942.7
474,-637.95,942.7
475,-27.55,857.0
476,-71.15,857.0
477,-114.75,857.0
478,-158.35,857.0
479,-201.95,857.0
480,-245.55,857.0
481,-289.15,857.0
482,-332.75,857.0
483,-376.35,857.0
484,-419.95,857.0
485,-463.55,857.0
486,-507.15,857.0
487,-550.75,857.0
488,-594.35,857.0
489,-637.95,857.0
490,-681.55,857.0
491,-725.15,857.0
492,-27.55,771.3
493,-71.15,771.3
494,-114.75,771.3
495,-158.35,771.3
496,-201.95,771.3
497,-245.55,771.3
498,-289.15,771.3
499,-332.75,771.3
500,-376.35,771.3
501,-419.95,771.3
502,-463.55,771.3
503,-507.15,771.3
504,-550.75,771.3
505,-594.35,771.3
506,-637.95,771.3
507,-681.55,771.3
508,-725.15,771.3
509,-768.75,771.3
510,-812.35,771.3
511,-27.55,685.6
512,-71.15,685.6
513,-114.75,685.6
514,-158.35,685.6
515,-201.95,685.6
516,-245.55,685.6
517,-289.15,685.6
518,-332.75,685.6
519,-376.35,685.6
520,-419.95,685.6
521,-463.55,685.6
522,-507.15,685.6
523,-550.75,685.6
524,-594.35,685.6
525,-637.95,685.6
526,-681.55,685.6
527,-725.15,685.6
528,-768.75,685.6
529,-812.35,685.6
530,-855.95,685.6
531,-899.55,685.6
532,-27.55,599.9
533,-71.15,599.9
534,-114.75,599.9
535,-158.35,599.9
536,-201.95,599.9
537,-245.55,599.9
538,-289.15,599.9
539,-332.75,599.9
540,-376.35,599.9
541,-419.95,599.9
542,-463.55,599.9
543,-507.15,599.9
544,-550.75,599.9
545,-594.35,599.9
546,-637.95,599.9
547,-681.55,599.9
548,-725.15,599.9
549,-768.75,599.9
550,-812.35,599.9
551,-855.95,599.9
552,-899.55,599.9
553,-943.15,599.9
554,-27.55,514.2
555,-71.15,514.2
556,-114.75,514.2
557,-158.35,514.2
558,-201.95,514.2
559,-245.55,514.2
560,-289.15,514.2
561,-332.75,514.2
562,-376.35,514.2
563,-419.95,514.2
564,-463.55,514.2
565,-507.15,514.2
566,-550.75,514.2
567,-594.35,514.2
568,-637.95,514.2
569,-681.55,514.2
570,-725.15,514.2
571,-768.75,514.2
572,-812.35,514.2
573,-855.95,514.2
574,-899.55,514.2
575,-943.15,514.2
576,-986.75,514.2
577,-27.55,428.5
578,-71.15,428.5
579,-114.75,428.5
580,-245.55,428.5
581,-289.15,428.5
582,-332.75,428.5
583,-376.35,428.5
584,-419.95,428.5
585,-463.55,428.5
586,-507.15,428.5
587,-550.75,428.5
588,-594.35,428.5
589,-637.95,428.5
590,-681.55,428.5
591,-725.15,428.5
592,-768.75,428.5
593,-812.35,428.5
594,-855.95,428.5
595,-899.55,428.5
596,-943.15,428.5
597,-289.15,342.8
598,-332.75,342.8
599,-376.35,342.8
600,-419.95,342.8
601,-463.55,342.8
602,-507.15,342.8
603,-550.75,342.8
604,-594.35,342.8
605,-637.95,342.8
606,-681.55,342.8
607,-725.15,342.8
608,-768.75,342.8
609,-812.35,342.8
610,-855.95,342.8
611,-899.55,342.8
612,-943.15,342.8
613,-986.75,342.8
614,-1030.35,342.8
615,-1073.95,342.8
616,-289.15,257.1
617,-332.75,257.1
618,-376.35,257.1
619,-419.95,257.1
620,-463.55,257.1
621,-507.15,257.1
622,-550.75,257.1
623,-594.35,257.1
624,-637.95,257.1
625,-681.55,257.1
626,-725.15,257.1
627,-768.75,257.1
628,-812.35,257.1
629,-855.95,257.1
630,-899.55,257.1
631,-943.15,257.1
632,-986.75,257.1
633,-1030.35,257.1
634,-1073.95,257.1
635,-332.75,171.4
636,-376.35,171.4
637,-419.95,171.4
638,-463.55,171.4
639,-507.15,171.4
640,-550.75,171.4
641,-594.35,171.4
642,-637.95,171.4
643,-681.55,171.4
644,-725.15,171.4
645,-768.75,171.4
646,-812.35,171.4
647,-855.95,171.4
648,-899.55,171.4
649,-943.15,171.4
650,-986.75,171.4
651,-1030.35,171.4
652,-1073.95,171.4
653,-463.55,85.7
654,-507.15,85.7
655,-550.75,85.7
656,-594.35,85.7
657,-637.95,85.7
658,-681.55,85.7
659,-725.15,85.7
660,-768.75,85.7
661,-812.35,85.7
662,-855.95,85.7
663,-899.55,85.7
664,-943.15,85.7
665,-986.75,85.7
666,-1030.35,85.7
667,-1073.95,85.7
668,-463.55,0.0
669,-507.15,0.0
670,-550.75,0.0
671,-594.35,0.0
672,-637.95,0.0
673,-681.55,0.0
674,-725.15,0.0
675,-768.75,0.0
676,-812.35,0.0
677,-855.95,0.0
678,-899.55,0.0
679,-943.15,0.0
680,-986.75,0.0
681,-1030.35,0.0
682,-1073.95,0.0
683,-376.35,-85.7
684,-419.95,-85.7
685,-463.55,-85.7
686,-507.15,-85.7
687,-550.75,-85.7
688,-594.35,-85.7
689,-637.95,-85.7
690,-681.55,-85.7
691,-725.15,-85.7
692,-768.75,-85.7
693,-812.35,-85.7
694,-855.95,-85.7
695,-899.55,-85.7
696,-943.15,-85.7
697,-986.75,-85.7
698,-1030.35,-85.7
699,-1073.95,-85.7
700,-332.75,-171.4
701,-376.35,-171.4
702,-419.95,-171.4
703,-463.55,-171.4
704,-507.15,-171.4
705,-550.75,-171.4
706,-594.35,-171.4
707,-637.95,-171.4
708,-681.55,-171.4
709,-725.15,-171.4
710,-768.75,-171.4
711,-812.35,-171.4
712,-855.95,-171.4
713,-899.55,-171.4
714,-943.15,-171.4
715,-986.75,-171.4
716,-1030.35,-171.4
717,-1073.95,-171.4
718,-289.15,-257.1
719,-332.75,-257.1
720,-376.35,-257.1
721,-419.95,-257.1
722,-463.55,-257.1
723,-507.15,-257.1
724,-550.75,-257.1
725,-594.35,-257.1
726,-637.95,-257.1
727,-681.55,-257.1
728,-725.15,-257.1
729,-768.75,-257.1
730,-812.35,-257.1
731,-855.95,-257.1
732,-899.55,-257.1
733,-943.15,-257.1
734,-986.75,-257.1
735,-1030.35,-257.1
736,-1073.95,-257.1
737,-289.15,-342.8
738,-332.75,-342.8
739,-376.35,-342.8
740,-419.95,-342.8
741,-463.55,-342.8
742,-507.15,-342.8
743,-550.75,-342.8
744,-594.35,-342.8
745,-637.95,-342.8
746,-681.55,-342.8
747,-725.15,-342.8
748,-768.75,-342.8
749,-812.35,-342.8
750,-855.95,-342.8
751,-899.55,-342.8
752,-943.15,-342.8
753,-27.55,-428.5
754,-71.15,-428.5
755,-114.75,-428.5
756,-158.35,-428.5
757,-201.95,-428.5
758,-245.55,-428.5
759,-289.15,-428.5
760,-332.75,-428.5
761,-376.35,-428.5
762,-419.95,-428.5
763,-463.55,-428.5
764,-507.15,-428.5
765,-550.75,-428.5
766,-594.35,-428.5
767,-637.95,-428.5
768,-681.55,-428.5
769,-725.15,-428.5
770,-768.75,-428.5
771,-812.35,-428.5
772,-855.95,-428.5
773,-899.55,-428.5
774,-943.15,-428.5
775,-27.55,-514.2
776,-71.15,-514.2
777,-114.75,-514.2
778,-158.35,-514.2
779,-201.95,-514.2
780,-245.55,-514.2
781,-289.15,-514.2
782,-332.75,-514.2
783,-376.35,-514.2
784,-419.95,-514.2
785,-463.55,-514.2
786,-507.15,-514.2
787,-550.75,-514.2
788,-594.35,-514.2
789,-637.95,-514.2
790,-681.55,-514.2
791,-725.15,-514.2
792,-768.75,-514.2
793,-812.35,-514.2
